TransactionAmt,TransactionHour,card_type,ProductCD,email_match,device_type,distance,card1,card2,card3,card5,addr1,addr2,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9,isFraud
107.95,14,0,4,0,0,0.0,17188,321.0,150.0,226.0,299.0,87.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,608.0,1,0,0,-1,-1,1,0,0,0,0
59.0,14,0,4,0,0,2.0,12932,361.0,150.0,226.0,126.0,87.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,1,1,1,0,1,0
82.95,4,0,4,0,0,117.0,9500,321.0,150.0,226.0,204.0,87.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,7.0,7.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,32.0,1,1,1,-1,-1,0,0,0,1,0
35.95,18,0,4,0,0,894.0,7919,194.0,150.0,202.0,264.0,87.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,122.0,122.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,109.0,0.0,0.0,0.0,122.0,1,1,1,-1,-1,0,-1,-1,-1,0
35.0,22,1,3,0,0,25.0,6741,583.0,150.0,195.0,330.0,87.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,55.0,2.0,603.0,603.0,2.0,0.0,0.0,386.0,2.0,230.9166717529297,0.9166659712791444,604.0,0.0,0.0,230.0,386.0,230.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
117.0,17,0,4,0,0,2.0,13085,417.0,150.0,195.0,330.0,87.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,1,0
150.0,14,1,2,1,1,0.0,6741,583.0,150.0,195.0,272.0,87.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.5833435058594,0.5833330154418945,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
44.5,19,0,4,0,0,0.0,7815,161.0,150.0,117.0,123.0,87.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,17.0,1.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,232.0,-1,-1,-1,1,1,0,-1,-1,-1,0
454.94,3,0,4,0,0,0.0,10748,455.0,150.0,195.0,299.0,87.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-1,-1,0,0,0,1,0
107.95,0,0,4,0,0,399.0,10023,111.0,150.0,226.0,441.0,87.0,121.0,117.0,0.0,0.0,111.0,93.0,0.0,0.0,82.0,0.0,92.0,0.0,406.0,94.0,280.0,280.0,10.0,76.0,10.0,0.0,0.0,0.0,0.0,78.0,622.0,0.0,0.0,0.0,510.0,1,1,1,-1,-1,0,0,0,0,0
24.0,19,0,4,0,0,0.0,7919,194.0,150.0,202.0,315.0,87.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,0,1,0,-1,-1,-1,0
50.0,19,0,1,0,0,0.0,9500,321.0,150.0,226.0,126.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
406.8,14,1,4,0,0,0.0,17499,-1.0,150.0,-1.0,126.0,87.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,0,0,0,0,0
60.0,21,0,4,0,0,0.0,7919,194.0,150.0,166.0,315.0,87.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,120.0,120.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,-1,-1,-1,0
